date, pm25, pm10, o3, no2, so2, co
2019/3/25, 60, 21, 40, 2, , 
2019/3/26, 53, 13, 40, 2, , 
2019/3/27, 51, 12, 38, 5, , 
2019/3/28, 59, 17, 44, 8, , 
2019/3/29, 48, 19, 44, 5, , 
2019/3/30, 55, 17, 46, 5, , 
2019/3/31, 54, 19, 36, 3, , 
2019/4/1, 57, 12, 32, 5, , 
2018/10/2, 53, 18, 33, 3, , 
2018/10/3, 45, 17, 36, 5, , 
2018/10/4, 38, 31, 33, 8, , 
2018/10/5, 50, 29, 38, 13, , 
2018/10/6, 57, 43, 41, 9, , 
2018/10/7, 65, 26, 34, 1, , 
2018/10/8, 52, 14, 29, 4, , 
2018/10/9, 36, 16, 32, 3, , 
2018/10/10, 44, 13, 25, 7, , 
2018/10/11, 49, 18, 19, 12, , 
2018/10/12, 59, 13, 20, 8, , 
2018/10/13, 56, 10, 29, 6, , 
2018/10/14, 59, 12, 28, 3, , 
2018/10/15, 45, 8, 22, 12, , 
2018/10/16, 36, 10, 29, 6, , 
2018/10/17, 49, 13, 28, 9, , 
2018/10/18, 39, 19, 31, 6, , 
2018/10/19, 49, 9, 27, 2, , 
2018/10/20, 42, 7, 29, 1, , 
2018/10/21, 31, 13, 26, 2, , 
2018/10/22, 49, 23, 35, 3, , 
2018/10/23, 58, 21, 34, 6, , 
2018/10/24, 53, 32, 28, 11, , 
2018/10/25, 60, 41, 24, 14, , 
2018/10/26, 62, 36, 20, 16, , 
2018/10/27, 66, 24, 27, 7, , 
2018/10/28, 57, 7, 30, 2, , 
2018/10/29, 30, 8, 27, 5, , 
2018/10/30, 45, 11, 22, 6, , 
2018/10/31, 46, 8, 20, 10, , 
2018/11/1, 43, 13, 23, 15, , 
2018/11/2, 55, 12, 26, 6, , 
2018/11/3, 50, 10, 26, 8, , 
2018/11/4, 42, 20, 24, 8, , 
2018/11/5, 56, 12, 25, 8, , 
2018/11/6, 50, 8, 27, 8, , 
2018/11/7, 36, 10, 24, 13, , 
2018/11/8, 41, 13, 19, 14, , 
2018/11/9, 53, 12, 30, 6, , 
2018/11/10, 38, 11, 24, 6, , 
2018/11/11, 38, 8, 62, 9, , 
2018/11/12, 36, 9, 47, 11, , 
2018/11/13, 41, 14, 22, 6, , 
2018/11/14, 46, 28, 25, 4, , 
2018/11/15, 55, 26, 27, 4, , 
2018/11/16, 54, 19, 18, 6, , 
2018/11/17, 51, 20, 25, 3, , 
2018/11/18, 52, 18, 25, 3, , 
2018/11/19, 52, 11, 26, 8, , 
2018/11/20, 41, 27, 22, 9, , 
2018/11/21, 40, 10, 26, 12, , 
2018/11/22, 40, 14, 17, 16, , 
2018/11/23, 51, 14, 23, 10, , 
2018/11/24, 49, 14, 11, 18, , 
2018/11/25, 54, 18, 21, 10, , 
2018/11/26, 65, 7, 30, 5, , 
2018/11/27, 34, 14, 17, 21, , 
2018/11/28, 50, 26, 10, 24, , 
2018/11/29, 72, 36, 13, 22, , 
2018/11/30, 87, 33, 64, 18, , 
2018/12/1, 67, 22, 50, 18, , 
2018/12/2, 58, 26, 60, 16, , 
2018/12/3, 68, 29, 11, 10, , 
2018/12/4, 80, 24, 10, 12, , 
2018/12/5, 61, 35, 11, 17, , 
2018/12/6, 63, 46, 17, 14, , 
2018/12/7, 84, 41, 14, 14, , 
2018/12/8, 60, 35, 16, 22, , 
2018/12/9, 82, 48, 16, 20, , 
2018/12/10, 79, 37, 24, 16, , 
2018/12/11, 63, 35, 16, 19, , 
2018/12/12, 64, 40, 2, 23, , 
2018/12/13, 83, 33, 32, 9, , 
2018/12/14, 83, 15, 26, 14, , 
2018/12/15, 43, 27, 14, 17, , 
2018/12/16, 61, 16, 28, 6, , 
2018/12/17, 55, 12, 26, 11, , 
2018/12/18, 48, 19, 17, 18, , 
2018/12/19, 56, 27, 12, 20, , 
2018/12/20, 67, 16, 10, 19, , 
2018/12/21, 62, 18, 8, 20, , 
2018/12/22, 70, 30, 72, 14, , 
2018/12/23, 81, 27, 169, 4, , 
2018/12/24, 69, , , , , 
2018/12/27, 58, 36, 12, 18, , 
2018/12/28, 68, 46, 24, 12, , 
2018/12/29, 80, 29, 25, 5, , 
2018/12/30, 52, 25, 27, 6, , 
2018/12/31, 51, , , , , 
2018/7/2, 53, , 43, 6, , 
2018/7/3, 51, , 29, 5, , 
2018/7/4, 54, , 42, 5, , 
2018/7/5, 55, , 47, 3, , 
2018/7/6, 51, , 52, 3, , 
2018/7/7, 48, , 48, 3, , 
2018/7/8, 57, , 41, 1, , 
2018/7/9, 61, , 37, 2, , 
2018/7/10, 59, , 53, 1, , 
2018/7/11, 61, , 58, 4, , 
2018/7/12, 66, , 67, 5, , 
2018/7/13, 64, , 47, 3, , 
2018/7/14, 67, , 52, 6, , 
2018/7/15, 72, , 43, 6, , 
2018/7/16, 65, , 43, 3, , 
2018/7/17, 56, , 55, 3, , 
2018/7/18, 62, , 48, 5, , 
2018/7/19, 77, , 50, 7, , 
2018/7/20, 66, , 44, 5, , 
2018/7/21, 64, , 43, 2, , 
2018/7/22, 55, , 53, 2, , 
2018/7/23, 51, , 52, 4, , 
2018/7/24, 56, , 48, 10, , 
2018/7/25, 64, , 55, 8, , 
2018/7/26, 60, , 54, 7, , 
2018/7/27, 59, , 48, 8, , 
2018/7/28, 64, , 53, 6, , 
2018/7/29, 63, , 47, 6, , 
2018/7/30, 57, , 47, 6, , 
2018/7/31, 52, , 59, 5, , 
2018/8/1, 52, , 72, 5, , 
2018/8/2, 56, , 67, 5, , 
2018/8/3, 61, , 43, 3, , 
2018/8/4, 69, , 40, 2, , 
2018/8/5, 67, , 52, 2, , 
2018/8/6, 70, , 49, 4, , 
2018/8/7, 68, , 43, 5, , 
2018/8/8, 87, , 46, 4, , 
2018/8/9, 73, , 49, 3, , 
2018/8/10, 61, , 43, 2, , 
2018/8/11, 53, , 56, 5, , 
2018/8/12, 66, , 45, 5, , 
2018/8/13, 71, , 42, 4, , 
2018/8/14, 67, , 36, 2, , 
2018/8/15, 49, 15, 49, 2, 2, 
2018/8/16, 50, 27, 45, 4, 2, 
2018/8/17, 58, 20, 43, 2, 2, 
2018/8/18, 57, 12, 39, 1, 2, 
2018/8/19, 46, 14, 44, 1, 2, 
2018/8/20, 52, 14, 47, 3, 2, 
2018/8/21, 54, 22, 52, 3, 3, 
2018/8/22, 53, , 49, 3, , 
2018/8/23, 54, , 56, 5, , 
2018/8/24, 59, , 51, 3, , 
2018/8/25, 63, , 50, 2, , 
2018/8/26, 58, , 51, 3, , 
2018/8/27, 58, , 59, 5, , 
2018/8/28, 61, , 42, 5, , 
2018/8/29, 74, , 58, 6, , 
2018/8/30, 73, , 50, 5, , 
2018/8/31, 66, , 51, 3, , 
2018/9/1, 64, , 53, 4, , 
2018/9/2, 60, , 50, 3, , 
2018/9/3, 61, , 49, 6, , 
2018/9/4, 71, , 51, 6, , 
2018/9/5, 70, , 40, 8, , 
2018/9/6, 72, , 38, 6, , 
2018/9/7, 68, , 45, 2, , 
2018/9/8, 55, , 33, 4, , 
2018/9/9, 58, , 41, 3, , 
2018/9/10, 55, , 31, 3, , 
2018/9/11, 50, 20, 32, 3, , 
2018/9/12, 54, 21, 31, 8, , 
2018/9/13, 59, 24, 20, 6, , 
2018/9/14, 64, , , , , 
2018/9/18, 56, 24, 39, 5, , 
2018/9/19, 62, 23, 47, 6, , 
2018/9/20, 60, 26, 46, 5, , 
